,name_data,objective,prior_type,model,sigma_prior,pmin,learning_rate,momentum,learning_rate_prior,momentum_prior,delta,layers,delta_test,mc_samples,kl_penalty,train_epochs,verbose,toolarge,device,prior_epochs,dropout_prob,perc_train,verbose_test,perc_prior,batch_size,Objective,Dataset,Sigma,LR,LR_prior,dropout,Obj_train,Risk_CE,Risk_01,KL,Train xe loss,Train 01 loss,Empirical xe risk,Empirical 01 risk,Stch loss,Stch 01 error,Post mean loss,Post mean 01 error,Ens loss,Ens 01 error,01 error prior net
10,cifar10,fquad_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,4.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.06,0.005,0.005,0.0,0.878110945224762,0.2342249913661596,0.7880261722338251,0.0116437561035156,"tensor(0.1681, device='cuda:0')",0.7191988269333335,0.1712749008228979,0.7229650658102516,0.171894371509552,0.7153,0.1584760248661041,0.6376999999999999,0.0044488855637609,0.6392,0.9073
11,cifar10,f_rts_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,4.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.06,0.005,0.005,0.0,0.803717851638794,0.2567414093228755,0.7509341402089454,0.0301334887695312,"tensor(0.1517, device='cuda:0')",0.6358969792000019,0.1547459454677928,0.6399360248550449,0.1556309759616851,0.6381,0.1406139284372329,0.5692999999999999,0.0041039064526557,0.5682,0.9073
12,cifar10,fgrad_acc,rand,cnn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.03,0.005,0.005,0.0,0.5715140700340271,0.3305948410249721,0.7861724481366927,0.092065986328125,"tensor(0.1397, device='cuda:0')",0.5915488082666666,0.1426297264973757,0.5956778200229087,0.1427017450332641,0.5924,0.124503768980503,0.5292,0.0037096785381436,0.5322,0.9239
13,cifar10,fgrad_acc,rand,cnn,0.04,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.04,0.005,0.005,0.0,0.5723502039909363,0.324838088447946,0.7785443433599928,0.08834814453125,"tensor(0.1387, device='cuda:0')",0.5862628421333281,0.1415832936693864,0.5904010975489173,0.1422079056501388,0.5875,0.1223814263939857,0.5247999999999999,0.0036605827044695,0.5146999999999999,0.9239
14,cifar10,fgrad_acc,rand,cnn,0.05,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.05,0.005,0.005,0.0,0.5801463723182678,0.3198882188973063,0.7816901211527411,0.081336064453125,"tensor(0.1414, device='cuda:0')",0.5981410329333385,0.1443945054000701,0.6022585911657317,0.1455329060554504,0.6018,0.1237802729010582,0.5259,0.0037224083207547,0.522,0.9239
15,cifar10,fgrad_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.06,0.005,0.005,0.0,0.5920404195785522,0.3101416313255581,0.7878241590172437,0.0693401025390625,"tensor(0.1459, device='cuda:0')",0.6200585781333382,0.1488555665974391,0.6241341826789615,0.1494171619415283,0.6194,0.129803717136383,0.556,0.003805560292676,0.5446,0.9239
16,cifar10,fquad_acc,rand,cnn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.03,0.005,0.005,0.0,0.9351405501365662,0.2137539545096545,0.9071022002023924,5.683775901794433e-05,"tensor(0.2009, device='cuda:0')",0.8977383683999804,0.2042634827812466,0.9002661980360588,0.2059971988201141,0.8988,0.2001688480377197,0.9068,0.0051432326436042,0.8992,0.9239
17,cifar10,fquad_acc,rand,cnn,0.04,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.04,0.005,0.005,0.0,0.9408494234085084,0.2172648611260378,0.9088723514374388,0.0002110889625549,"tensor(0.2019, device='cuda:0')",0.8978393379999947,0.2053193692394491,0.9003646717444711,0.2071354240179062,0.8995,0.2000720053911209,0.9,0.0051701962947845,0.8873,0.9239
18,cifar10,fquad_acc,rand,cnn,0.05,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.05,0.005,0.005,0.0,0.9542859196662904,0.2245939115322246,0.9127958778529968,0.0007392321777343,"tensor(0.2032, device='cuda:0')",0.8976908191999935,0.2065498086141702,0.9002198242160764,0.208469808101654,0.9016,0.2001784294843673,0.8541,0.005202857311815,0.8851,0.9239
19,cifar10,fquad_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.06,0.005,0.005,0.0,0.9737405180931092,0.2340126702224957,0.9179324363086688,0.0018358084106445,"tensor(0.2039, device='cuda:0')",0.897272359066655,0.2072790838803647,0.8997991681032663,0.2091539651155471,0.9,0.2003494203090667,0.9,0.0052261333912611,0.8901,0.9239
20,cifar10,f_rts_acc,rand,cnn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.03,0.005,0.005,0.0,0.9289289712905884,0.2141646374303328,0.9067722335791752,9.394079208374024e-05,"tensor(0.2007, device='cuda:0')",0.896942286666654,0.2040399394723556,0.8994772145495298,0.2057758271694183,0.8983,0.199990302324295,0.8952,0.0051401429809629,0.8978,0.9239
21,cifar10,f_rts_acc,rand,cnn,0.04,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.04,0.005,0.005,0.0,0.9343651533126832,0.2183250140007926,0.9089045470745584,0.0003285948562622,"tensor(0.2014, device='cuda:0')",0.8967443729333175,0.2048189112588852,0.8992841689335356,0.2066288441419601,0.8975,0.1999354809522628,0.8996999999999999,0.0051627280190587,0.8849,0.9239
22,cifar10,f_rts_acc,rand,cnn,0.05,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.05,0.005,0.005,0.0,0.945145547389984,0.2262359149540913,0.91333591444434,0.0010329740142822,"tensor(0.2022, device='cuda:0')",0.8963980685333355,0.2055724465061545,0.8989463826410482,0.2074443399906158,0.899,0.2001751661300659,0.9002,0.0051842178218066,0.8874,0.9239
23,cifar10,f_rts_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.0,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.06,0.005,0.005,0.0,0.9594550132751464,0.2360980212358907,0.9185324773368836,0.0023771701049804,"tensor(0.2026, device='cuda:0')",0.895577196666659,0.2059985752938765,0.8981329549733343,0.2077725529670715,0.896,0.2004997134208679,0.9,0.0051983557641506,0.8885,0.9239
24,cifar10,fgrad_acc,rand,cnn,0.05,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.05,0.005,0.005,0.0,0.5841389894485474,0.3009394072673338,0.7582253555625265,0.068681083984375,"tensor(0.1393, device='cuda:0')",0.5854069837333242,0.1422374292733801,0.5895411471864632,0.1427013576030731,0.5866,0.1234173625707626,0.5278,0.0036157481372356,0.5253,0.9063
25,cifar10,fgrad_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.06,0.005,0.005,0.0,0.5918296575546265,0.2894357759328912,0.7518970571703197,0.058928935546875,"tensor(0.1408, device='cuda:0')",0.5909687470666587,0.1436898587096909,0.5950973813096588,0.1450894176959991,0.5976,0.1253527998924255,0.5171,0.0036162214819341,0.5125,0.9063
26,cifar10,fgrad_acc,rand,cnn,0.07,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.07,0.005,0.005,0.0,0.6035700440406799,0.280706872962838,0.757272576578499,0.0501628759765625,"tensor(0.1440, device='cuda:0')",0.6097797237333268,0.146950999975482,0.6138703201952183,0.148212656378746,0.6132,0.1279141008853912,0.5273,0.003707678290084,0.5217,0.9063
27,cifar10,fgrad_acc,rand,cnn,0.08,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.08,0.005,0.005,0.0,0.6206067800521851,0.2717606302437393,0.7648839397107507,0.0398317407226562,"tensor(0.1500, device='cuda:0')",0.6347048955999999,0.1530209107995122,0.6387460172830062,0.1546036005020141,0.6367,0.1331032514572143,0.5615,0.0038104725535959,0.5509,0.9063
28,cifar10,fquad_acc,rand,cnn,0.05,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.05,0.005,0.005,0.0,0.9414342641830444,0.2132350351258511,0.9120242848107508,2.235167980194092e-05,"tensor(0.2010, device='cuda:0')",0.9033371614666156,0.2043710737966395,0.9057973911801608,0.2059859484434127,0.9049,0.2004962861537933,0.9023,0.0051515032537281,0.9013,0.9063
29,cifar10,fquad_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.06,0.005,0.005,0.0,0.9400467872619628,0.2137787168755067,0.9110439102455752,4.18799877166748e-05,"tensor(0.2012, device='cuda:0')",0.9020545791999812,0.2045495815629605,0.904535496533386,0.2061938792467117,0.9044,0.2003773599863052,0.9016,0.0051576104015111,0.9025,0.9063
30,cifar10,fquad_acc,rand,cnn,0.07,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.07,0.005,0.005,0.0,0.9403745532035828,0.2147622946189732,0.9104942111158568,8.315052032470703e-05,"tensor(0.2014, device='cuda:0')",0.9009556487999932,0.2048050674237936,0.9034523112148064,0.2064568698406219,0.9014,0.2002974897623062,0.9007000000000001,0.0051654973067343,0.9031,0.9063
31,cifar10,fquad_acc,rand,cnn,0.08,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.08,0.005,0.005,0.0,0.942390203475952,0.2162055772054492,0.9104016697142804,0.0001549324798583,"tensor(0.2017, device='cuda:0')",0.9000364139999828,0.2050905387926339,0.9025440454578018,0.2067612409591674,0.8983,0.2002533376216888,0.9009,0.0051730014383792,0.9024,0.9063
32,cifar10,f_rts_acc,rand,cnn,0.05,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.05,0.005,0.005,0.0,0.9352141618728638,0.2134169959759266,0.9115465010489118,3.9241819381713866e-05,"tensor(0.2009, device='cuda:0')",0.9026085178666324,0.2042419675457867,0.9050872927694592,0.2058369517326355,0.9038,0.2003914713859558,0.9018,0.0051484331488609,0.9009,0.9063
33,cifar10,f_rts_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.06,0.005,0.005,0.0,0.9339077472686768,0.214062466362547,0.9106431433381164,7.0018949508667e-05,"tensor(0.2010, device='cuda:0')",0.901276444799986,0.2043391867338786,0.903765020743364,0.2059696167707443,0.9046,0.2002782523632049,0.9014,0.0051528676412999,0.9012,0.9063
34,cifar10,f_rts_acc,rand,cnn,0.07,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.07,0.005,0.005,0.0,0.9341717958450316,0.2151792370251691,0.9101633928014148,0.0001280395698547,"tensor(0.2011, device='cuda:0')",0.9000889499999785,0.2044928260730527,0.9025952635686374,0.2061357051134109,0.9011,0.2002384960651397,0.9016,0.0051583074964582,0.9003,0.9063
35,cifar10,f_rts_acc,rand,cnn,0.08,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,150000,1,100,False,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.08,0.005,0.005,0.0,0.9357850551605223,0.2167543405686774,0.9101916759662392,0.0002221460342407,"tensor(0.2013, device='cuda:0')",0.899104659599988,0.2046655259807748,0.9016233482097722,0.2063309550285339,0.8973,0.2002118974924087,0.9035,0.0051627331413328,0.9,0.9063
