,seed,name_data,objective,prior_type,model,sigma_prior,pmin,learning_rate,momentum,learning_rate_prior,momentum_prior,delta,layers,delta_test,mc_samples,kl_penalty,train_epochs,verbose,device,prior_epochs,dropout_prob,perc_train,verbose_test,perc_prior,batch_size,Objective,Dataset,Sigma,LR,LR_prior,dropout,Obj_train,Risk_CE,Risk_01,KL,Train xe loss,Train 01 loss,Empirical xe risk,Empirical 01 risk,Stch loss,Stch 01 error,Post mean loss,Post mean 01 error,Ens loss,Ens 01 error,01 error prior net
10,1,cifar10,fgrad_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.06,0.005,0.005,0.0,0.6485246419906616,0.3041855276394214,0.7755899963752506,0.0561753369140625,"tensor(0.1422, device='cuda:0')",0.6043432279999994,0.1588082935168128,0.6266991396568857,0.1454505026340484,0.5985,0.123141348361969,0.5223,0.0034567338880151,0.5224,0.9
11,1,cifar10,fgrad_acc,rand,cnn,0.07,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.07,0.005,0.005,0.0,0.6676501631736755,0.2945055513176454,0.7828391552413014,0.044909775390625,"tensor(0.1482, device='cuda:0')",0.6295594999999993,0.1650117195112106,0.6515984939744577,0.151503175497055,0.625,0.1322489529848098,0.5538000000000001,0.0036149232182651,0.5453,0.9
12,1,cifar10,fquad_acc,rand,cnn,0.05,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.05,0.005,0.005,0.0,1.006648302078247,0.2283656483213498,0.9199848896763336,1.4191771745681765e-05,"tensor(0.2006, device='cuda:0')",0.9009316360000016,0.2194372833556893,0.9141193863458206,0.2057571858167648,0.8996999999999999,0.2000872939825058,0.9,0.0051398440264165,0.9,0.9
13,1,cifar10,fquad_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.06,0.005,0.005,0.0,1.0074450969696045,0.2288428382994174,0.9202668746974504,2.678271770477295e-05,"tensor(0.2008, device='cuda:0')",0.9010724440000044,0.2196640437406352,0.9142535264297952,0.2060029655694961,0.9022,0.2000428736209869,0.9,0.0051475311629474,0.9,0.9
14,1,cifar10,fquad_acc,rand,cnn,0.07,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.07,0.005,0.005,0.0,1.0079280138015747,0.2296990532275297,0.9203038127690212,5.617205142974853e-05,"tensor(0.2011, device='cuda:0')",0.9007290959999986,0.2199673918327082,0.9139316899696094,0.206317737698555,0.9016,0.2000220865011215,0.9,0.0051575126126408,0.9,0.9
15,1,cifar10,f_rts_acc,rand,cnn,0.05,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.05,0.005,0.005,0.0,1.0006327629089355,0.2284796316208105,0.9197760063970544,2.367044925689697e-05,"tensor(0.2005, device='cuda:0')",0.9005707080000046,0.2193658204861051,0.9137822295128396,0.2056849300861358,0.899,0.2000141441822052,0.9,0.0051378374919295,0.9,0.9
16,1,cifar10,f_rts_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.06,0.005,0.005,0.0,1.0011610984802246,0.2290314576767567,0.9200085362064744,4.3346824645996096e-05,"tensor(0.2007, device='cuda:0')",0.900571935999999,0.2195415926672412,0.9137832943441336,0.2058795541524887,0.8998,0.1999736875295639,0.9,0.0051442636176943,0.9,0.9
17,1,cifar10,f_rts_acc,rand,cnn,0.07,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,cifar10,0.07,0.005,0.005,0.0,1.0016217231750488,0.2300284205125909,0.920134886580408,8.70039176940918e-05,"tensor(0.2009, device='cuda:0')",0.9001666799999984,0.2197553862875723,0.913395326087822,0.2060901969671249,0.9003,0.1999702453613281,0.9,0.0051516159437596,0.9001,0.9
18,2,cifar10,fgrad_acc,rand,cnn,0.05,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.05,0.005,0.005,0.0,0.686839759349823,0.291838278541871,0.8026877953552624,0.0374497509765625,"tensor(0.1561, device='cuda:0')",0.665262324000001,0.1732470554166624,0.6867401671268243,0.1593350023031234,0.6588,0.1546413898468017,0.5952999999999999,0.0039172037504613,0.5927,0.8948
19,2,cifar10,fgrad_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.06,0.005,0.005,0.0,0.6478886008262634,0.3073439273508678,0.7757828626892596,0.0577901171875,"tensor(0.1429, device='cuda:0')",0.6023428880000004,0.1594790778770181,0.6247147412039691,0.145370602607727,0.5951,0.139405146241188,0.5339,0.0035811800044029,0.5351,0.8948
20,2,cifar10,fgrad_acc,rand,cnn,0.07,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,cifar10,0.07,0.005,0.005,0.0,0.6627523303031921,0.2966917245503027,0.7814313686278229,0.047503466796875,"tensor(0.1466, device='cuda:0')",0.6239377560000005,0.1634103536596517,0.6460472504114185,0.1499701142311096,0.6187,0.1434759497642517,0.5530999999999999,0.0036798976361751,0.5474,0.8948
21,2,cifar10,fquad_acc,rand,cnn,0.05,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.05,0.005,0.005,0.0,1.006558895111084,0.2285908062854481,0.9197328172991368,1.4199445247650146e-05,"tensor(0.2008, device='cuda:0')",0.9006605360000003,0.2196590241437371,0.91386012174892,0.2059236019849777,0.8949,0.200871929526329,0.8932,0.0051317145116627,0.9,0.8948
22,2,cifar10,fquad_acc,rand,cnn,0.06,1e-05,0.005,0.95,0.005,0.99,0.025,5.01,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,cifar10,0.06,0.005,0.005,0.0,1.0072436332702637,0.2290166658493751,0.9199144658070976,2.66568660736084e-05,"tensor(0.2010, device='cuda:0')",0.9006901999999966,0.2198399402947455,0.9138858441883698,0.2060852795839309,0.8996,0.2007635980844497,0.8932,0.0051363022066652,0.9008,0.8948
