,seed,name_data,objective,prior_type,model,sigma_prior,pmin,learning_rate,momentum,learning_rate_prior,momentum_prior,delta,layers,delta_test,mc_samples,kl_penalty,train_epochs,verbose,device,prior_epochs,dropout_prob,perc_train,verbose_test,perc_prior,batch_size,Objective,Dataset,Sigma,LR,LR_prior,dropout,Obj_train,Risk_CE,Risk_01,KL,Train xe loss,Train 01 loss,Empirical xe risk,Empirical 01 risk,Stch loss,Stch 01 error,Post mean loss,Post mean 01 error,Ens loss,Ens 01 error,01 error prior net
10,1,mnist,fquad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,mnist,0.03,0.005,0.005,0.0,0.4762272536754608,0.1958343284581659,0.3591865360561856,0.083819140625,"tensor(0.0440, device='cuda:0')",0.1563647966666672,0.0540675017478341,0.1735645355265325,0.0437855906784534,0.153,0.025550041347742,0.0955,0.0010526339756324,0.0948,0.864
11,1,mnist,f_rts_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,mnist,0.03,0.005,0.005,0.0,0.3335707783699035,0.2301554992908014,0.3451592797963026,0.154401953125,"tensor(0.0259, device='cuda:0')",0.09123064,0.0338396877199635,0.1050618264992562,0.0258589200675487,0.0883,0.0121400132775306,0.054,0.000603710883297,0.0573,0.864
12,2,mnist,fgrad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad,mnist,0.03,0.005,0.005,0.0,0.169513538479805,0.1808933769002702,0.3775142052643534,0.0528794921875,"tensor(0.0573, device='cuda:0')",0.2064197366666665,0.0686793737697937,0.2254597416471583,0.0572776086628437,0.2007,0.0307033993303775,0.1096,0.0014209967339411,0.1117,0.9302
13,2,mnist,fquad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad,mnist,0.03,0.005,0.005,0.0,0.2137511074542999,0.1873783379499706,0.4455016175634899,0.0330359151204427,"tensor(0.0814, device='cuda:0')",0.298003763333334,0.0946152951467172,0.3193332617168694,0.0819969847798347,0.2936999999999999,0.0461997650563716,0.1497,0.0020241038873791,0.1584999999999999,0.9302
14,2,mnist,f_rts,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts,mnist,0.03,0.005,0.005,0.0,0.1539386957883834,0.1821948695030337,0.3558020571584486,0.065229150390625,"tensor(0.0485, device='cuda:0')",0.1731887233333327,0.0590832426257083,0.1910642150857344,0.048341080546379,0.1674999999999999,0.0260228030383586,0.0968,0.0012061556335538,0.0978,0.9302
15,2,mnist,fgrad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,mnist,0.03,0.005,0.005,0.0,0.3210992813110351,0.2135097293337848,0.3411125111893421,0.12636982421875,"tensor(0.0303, device='cuda:0')",0.1072615233333332,0.0388553110540573,0.1220593896407875,0.0300067458301782,0.1027,0.0177064836025238,0.0665999999999999,0.0007388133672066,0.0692,0.9302
16,2,mnist,fquad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,mnist,0.03,0.005,0.005,0.0,0.4705122411251068,0.1946007241851072,0.35705536797838,0.083176416015625,"tensor(0.0437, device='cuda:0')",0.1553121899999998,0.0537458671567542,0.1724689444701099,0.0429149270057678,0.1516999999999999,0.0233769658952951,0.0900999999999999,0.0010638836538419,0.0936,0.9302
17,2,mnist,f_rts_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,mnist,0.03,0.005,0.005,0.0,0.3306276202201843,0.2293680415921598,0.3438586221360794,0.1536653971354166,"tensor(0.0258, device='cuda:0')",0.0908224499999997,0.0337765762641385,0.1046286348898482,0.0255957916378974,0.0898999999999999,0.0161271076649427,0.0544,0.0006153872236609,0.0578999999999999,0.9302
18,3,mnist,fgrad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad,mnist,0.03,0.005,0.005,0.0,0.1692241728305816,0.1805044884792289,0.3758008924739043,0.0521866739908854,"tensor(0.0577, device='cuda:0')",0.2058723466666667,0.0690447746498505,0.2248951913569084,0.0577122382819652,0.2013,0.0274552777409553,0.1045,0.0015043128514662,0.1064,0.9003
19,3,mnist,fquad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad,mnist,0.03,0.005,0.005,0.0,0.2133505046367645,0.187425508120095,0.4462010411331966,0.0324257120768229,"tensor(0.0822, device='cuda:0')",0.2997725633333324,0.0954252328869463,0.3211391376783366,0.0829265415668487,0.2997999999999999,0.042123831808567,0.1344999999999999,0.0021216897293925,0.1462999999999999,0.9003
